afterward;happening after something else happened;sonra;başka bir şey olduktan sonra oluyor
amongst;in or through a group;arasında;grup içinde veya bir grup aracılığıyla
artistic;Being able to paint, write music, etc.  creative;sanatsal;,Resim yapabilme,, müzik yazabilme vb. yaratıcı,
backward;toward what is behind you;geri;arkanda olana doğru
bodily;physically, as when lifting someone;bedensel;,fiziksel olarak,, birini kaldırırken olduğu gibi,
carrier;a company, usually an airline, that carries things;taşıyıcı;,bir şirket,, genellikle bir havayolu şirketi...,
collective;formed by working together as a group;toplu;olarak birlikte çalışarak oluşturulan 6
computation;the act of calculating  method of computing;hesaplama;hesaplama yöntemi hesaplama eylemi
continuity;continued existence  fact of not stopping;süreklilik;devam eden varoluş gerçeği durmama
definite;Not likely to change  clearly decided;kesin;Değişmesi muhtemel değil Açıkça karar verildi
freely;(living, existing) without being controlled;özgürce;,(yaşayan,, var olan) kontrol edilmeden,
generalization;making a statement about a group from limited data;genelleme;Sınırlı bir grup hakkında açıklama yapmak...
generalize;To apply a particular idea to a large group;genellemek;Belirli bir fikri büyük bir gruba uygulamak
goodness;nourishment  good food value;iyilik;beslenme iyi besin değeri
historically;throughout history;tarihsel olarak;tarih boyunca
importantly;in an important way  ;önemli;önemli bir şekilde
interestingly;you'll find this surprising  in an interesting way;ilginç bir şekilde;Bunu ilginç bir şekilde şaşırtıcı bulacaksınız...
locally;Concerning the area around where you are;yerel;Bulunduğunuz yerin çevresiyle ilgili
machinery;machines in general;makine;olarak 18 makine
marker;something that is easy to recognize or identify;işaretleyici;Tanıması veya tanımlaması kolay bir şey
meaningful;Having importance  showing someone's intention;anlamlı;Birinin niyetini göstermenin önemi
namely;that is to say, specifically;yani;,yani,, özellikle,
nationalism;The spirit of love of your country, e.g. leading to war;milliyetçilik;,Ülkenizin sevgi ruhu,, örn. kurşun...,
neat;Not messy  clean and orderly  simple and effective;temiz;Dağınık değil temiz ve düzenli sade ve etkili...
nicely;in a pleasing way  in a polite way;güzel;hoş bir şekilde kibar bir şekilde
noisy;full of noise  loud;gürültülü;yüksek sesle dolu
outer;on or around something;dış;bir şeyin üzerinde veya çevresinde
painful;causing or feeling physical pain or hurt;acı verici;Fiziksel acıya veya incinmeye neden olmak veya hissetmek
pardon;to excuse;af;özür dilemek
parental;concerning, or provided by, a parent;ebeveyn;bir ebeveynle ilgili veya ebeveyn tarafından sağlanan
partial;not complete  being only part of something;kısmi;bir şeyin sadece parçası olmayı tamamlamamak
